easternConference,westernConference
Boston Celtics,Minnesota Timberwolves
Milwaukee Bucks,Oklahoma City Thunder
Orlando Magic,Denver Nuggets
Philadelphia 76ers,Dallas Mavericks
New York Knicks,Los Angeles Lakers
Indiana Pacers,Sacramento Kings
Miami Heat,Phoenix Suns
Cleveland Cavaliers,New Orleans Pelicans
Brooklyn Nets,Los Angeles Clippers
Atlanta Hawks,Houston Rockets
Toronto Raptors,Golden State Warriors
Chicago Bulls,Utah Jazz
Charlotte Hornets,Memphis Grizzlies
Washington Wizards,Portland Trail Blazers
Detroit Pistons,Spurs
